<<<<<<< HEAD
VertexID	Color
5	1
101	1
62	2
103	2
60	2
85	3
117	3
95	3
2	4
40	4
124	4
48	5
81	5
89	5
94	6
22	6
41	6
111	7
78	7
18	8
118	8
44	8
16	9
73	9
106	9
80	10
87	10
11	10
29	11
102	11
120	11
57	12
71	12
77	12
8	13
97	13
53	13
104	13
86	14
7	14
34	14
19	15
122	15
113	16
123	16
3	16
24	17
65	17
93	17
72	18
115	18
107	18
84	18
79	19
108	19
105	20
10	20
100	20
47	21
46	21
50	21
59	22
6	22
121	22
67	23
116	23
61	24
12	24
38	24
52	25
14	25
35	25
82	26
56	26
23	27
110	27
49	27
55	28
9	28
114	28
69	29
74	29
37	29
45	30
25	30
91	30
33	31
32	31
31	31
96	32
58	32
76	33
99	33
54	33
20	34
119	34
36	34
21	35
66	35
98	36
92	36
70	36
4	37
15	37
39	37
75	38
30	38
63	38
13	39
83	39
28	40
112	40
26	40
1	41
27	41
68	41
64	42
42	42
109	42
125	43
17	43
51	43
90	44
43	44
88	44
=======
VertexID	Color
5	1
101	1
62	2
103	2
60	2
85	3
117	3
95	3
2	4
40	4
124	4
48	5
81	5
89	5
94	6
22	6
41	6
111	7
78	7
18	8
118	8
44	8
16	9
73	9
106	9
80	10
87	10
11	10
29	11
102	11
120	11
57	12
71	12
77	12
8	13
97	13
53	13
104	13
86	14
7	14
34	14
19	15
122	15
113	16
123	16
3	16
24	17
65	17
93	17
72	18
115	18
107	18
84	18
79	19
108	19
105	20
10	20
100	20
47	21
46	21
50	21
59	22
6	22
121	22
67	23
116	23
61	24
12	24
38	24
52	25
14	25
35	25
82	26
56	26
23	27
110	27
49	27
55	28
9	28
114	28
69	29
74	29
37	29
45	30
25	30
91	30
33	31
32	31
31	31
96	32
58	32
76	33
99	33
54	33
20	34
119	34
36	34
21	35
66	35
98	36
92	36
70	36
4	37
15	37
39	37
75	38
30	38
63	38
13	39
83	39
28	40
112	40
26	40
1	41
27	41
68	41
64	42
42	42
109	42
125	43
17	43
51	43
90	44
43	44
88	44
>>>>>>> c1566aac1e68d9b0b39dec59fe8d8f314861d7ed
