<<<<<<< HEAD
VertexID	Color
261	1
239	1
429	1
223	1
346	1
401	1
374	2
327	2
108	2
257	2
307	2
177	2
170	3
221	3
143	3
413	3
247	3
121	3
54	4
134	4
142	4
442	4
58	4
421	4
47	5
379	5
499	5
295	5
225	5
485	5
482	6
301	6
395	6
339	6
106	6
226	6
324	7
125	7
88	7
90	7
120	7
362	7
52	8
25	8
182	8
437	8
258	8
131	8
89	9
4	9
86	9
127	9
272	9
366	9
55	10
12	10
251	10
326	10
27	10
464	10
441	11
240	11
317	11
201	11
84	11
56	11
38	12
309	12
203	12
222	12
113	12
34	12
164	13
283	13
100	13
439	13
104	13
497	13
71	14
43	14
284	14
41	14
391	14
281	14
238	15
204	15
330	15
410	15
57	15
40	15
467	16
252	16
228	16
469	16
233	16
5	17
2	17
8	17
102	17
159	17
79	17
360	18
447	18
384	18
173	18
230	18
128	19
322	19
33	19
389	19
430	19
167	19
498	20
166	20
365	20
13	20
427	20
135	20
17	21
419	21
165	21
298	21
256	21
190	21
148	22
400	22
314	22
481	22
348	22
363	23
423	23
484	23
63	23
315	23
291	24
418	24
119	24
189	24
242	24
329	25
138	25
227	25
77	25
264	25
454	25
459	26
31	26
259	26
208	26
3	26
495	26
193	27
130	27
9	27
409	27
42	27
496	27
200	28
205	28
70	28
275	28
282	28
216	29
115	29
210	29
83	29
30	29
80	30
424	30
483	30
23	30
69	30
473	30
472	31
336	31
147	31
358	31
462	32
286	32
408	32
277	32
176	33
492	33
98	33
350	33
64	34
494	34
214	34
404	34
477	35
438	35
136	35
304	35
253	36
446	36
349	36
371	36
461	37
168	37
341	37
154	37
124	38
111	38
319	38
478	38
457	39
451	39
112	39
312	39
16	40
235	40
414	40
468	40
224	40
122	41
440	41
460	41
471	41
160	42
53	42
11	42
292	42
311	43
382	43
21	43
271	43
296	43
262	44
37	44
458	44
50	44
500	45
263	45
244	45
425	45
325	46
303	46
377	46
22	46
398	47
61	47
342	47
331	47
254	48
96	48
236	48
45	48
265	49
417	49
456	49
81	49
194	50
146	50
294	50
351	50
255	51
487	51
217	51
59	51
109	52
196	52
347	52
394	52
141	53
320	53
310	53
155	53
273	53
434	54
333	54
390	54
340	54
450	55
431	55
428	55
65	55
445	56
323	56
288	56
110	56
375	57
101	57
212	57
78	57
373	58
118	58
85	58
449	58
406	59
74	59
420	59
18	59
396	60
436	60
99	60
465	60
186	61
285	61
213	61
117	61
46	62
278	62
376	62
334	62
29	63
305	63
397	63
132	63
174	64
475	64
44	64
179	64
91	65
448	65
332	65
73	65
392	66
234	66
15	66
95	66
378	67
248	67
48	67
432	67
181	68
75	68
137	68
26	68
197	69
39	69
35	69
10	69
422	70
313	70
287	70
28	70
270	71
153	71
269	71
158	71
171	72
476	72
60	72
356	72
274	72
426	73
188	73
302	73
169	73
369	74
466	74
246	74
452	74
249	75
229	75
289	75
157	75
14	76
433	76
245	76
232	76
184	77
318	77
344	77
385	77
187	78
82	78
403	78
163	78
367	79
380	79
493	79
129	80
407	80
220	80
463	80
156	81
388	81
345	81
300	81
36	82
383	82
6	82
399	83
321	83
1	83
24	84
335	84
76	84
416	84
343	85
444	85
178	85
293	86
299	86
206	86
353	87
386	87
67	87
144	88
68	88
243	88
455	89
237	89
267	89
435	89
139	90
411	90
93	90
116	91
479	91
162	91
105	92
352	92
354	92
126	93
279	93
306	93
443	94
402	94
198	94
199	95
114	95
94	95
266	96
361	96
250	96
308	97
87	97
97	97
372	98
19	98
161	98
290	99
66	99
260	99
359	100
412	100
219	100
49	101
393	101
211	101
280	102
7	102
123	102
149	103
415	103
241	103
486	104
103	104
92	104
151	105
480	105
297	105
491	106
368	106
32	106
202	107
185	107
72	107
338	108
191	108
364	108
152	109
268	109
180	109
215	110
195	110
150	111
276	111
357	111
107	112
453	112
387	112
474	113
488	113
370	114
218	114
145	114
337	115
470	115
207	115
328	116
175	116
381	116
140	117
133	117
20	117
51	118
355	118
490	118
231	119
62	119
172	120
183	120
192	121
209	121
489	122
405	122
316	122
=======
VertexID	Color
261	1
239	1
429	1
223	1
346	1
401	1
374	2
327	2
108	2
257	2
307	2
177	2
170	3
221	3
143	3
413	3
247	3
121	3
54	4
134	4
142	4
442	4
58	4
421	4
47	5
379	5
499	5
295	5
225	5
485	5
482	6
301	6
395	6
339	6
106	6
226	6
324	7
125	7
88	7
90	7
120	7
362	7
52	8
25	8
182	8
437	8
258	8
131	8
89	9
4	9
86	9
127	9
272	9
366	9
55	10
12	10
251	10
326	10
27	10
464	10
441	11
240	11
317	11
201	11
84	11
56	11
38	12
309	12
203	12
222	12
113	12
34	12
164	13
283	13
100	13
439	13
104	13
497	13
71	14
43	14
284	14
41	14
391	14
281	14
238	15
204	15
330	15
410	15
57	15
40	15
467	16
252	16
228	16
469	16
233	16
5	17
2	17
8	17
102	17
159	17
79	17
360	18
447	18
384	18
173	18
230	18
128	19
322	19
33	19
389	19
430	19
167	19
498	20
166	20
365	20
13	20
427	20
135	20
17	21
419	21
165	21
298	21
256	21
190	21
148	22
400	22
314	22
481	22
348	22
363	23
423	23
484	23
63	23
315	23
291	24
418	24
119	24
189	24
242	24
329	25
138	25
227	25
77	25
264	25
454	25
459	26
31	26
259	26
208	26
3	26
495	26
193	27
130	27
9	27
409	27
42	27
496	27
200	28
205	28
70	28
275	28
282	28
216	29
115	29
210	29
83	29
30	29
80	30
424	30
483	30
23	30
69	30
473	30
472	31
336	31
147	31
358	31
462	32
286	32
408	32
277	32
176	33
492	33
98	33
350	33
64	34
494	34
214	34
404	34
477	35
438	35
136	35
304	35
253	36
446	36
349	36
371	36
461	37
168	37
341	37
154	37
124	38
111	38
319	38
478	38
457	39
451	39
112	39
312	39
16	40
235	40
414	40
468	40
224	40
122	41
440	41
460	41
471	41
160	42
53	42
11	42
292	42
311	43
382	43
21	43
271	43
296	43
262	44
37	44
458	44
50	44
500	45
263	45
244	45
425	45
325	46
303	46
377	46
22	46
398	47
61	47
342	47
331	47
254	48
96	48
236	48
45	48
265	49
417	49
456	49
81	49
194	50
146	50
294	50
351	50
255	51
487	51
217	51
59	51
109	52
196	52
347	52
394	52
141	53
320	53
310	53
155	53
273	53
434	54
333	54
390	54
340	54
450	55
431	55
428	55
65	55
445	56
323	56
288	56
110	56
375	57
101	57
212	57
78	57
373	58
118	58
85	58
449	58
406	59
74	59
420	59
18	59
396	60
436	60
99	60
465	60
186	61
285	61
213	61
117	61
46	62
278	62
376	62
334	62
29	63
305	63
397	63
132	63
174	64
475	64
44	64
179	64
91	65
448	65
332	65
73	65
392	66
234	66
15	66
95	66
378	67
248	67
48	67
432	67
181	68
75	68
137	68
26	68
197	69
39	69
35	69
10	69
422	70
313	70
287	70
28	70
270	71
153	71
269	71
158	71
171	72
476	72
60	72
356	72
274	72
426	73
188	73
302	73
169	73
369	74
466	74
246	74
452	74
249	75
229	75
289	75
157	75
14	76
433	76
245	76
232	76
184	77
318	77
344	77
385	77
187	78
82	78
403	78
163	78
367	79
380	79
493	79
129	80
407	80
220	80
463	80
156	81
388	81
345	81
300	81
36	82
383	82
6	82
399	83
321	83
1	83
24	84
335	84
76	84
416	84
343	85
444	85
178	85
293	86
299	86
206	86
353	87
386	87
67	87
144	88
68	88
243	88
455	89
237	89
267	89
435	89
139	90
411	90
93	90
116	91
479	91
162	91
105	92
352	92
354	92
126	93
279	93
306	93
443	94
402	94
198	94
199	95
114	95
94	95
266	96
361	96
250	96
308	97
87	97
97	97
372	98
19	98
161	98
290	99
66	99
260	99
359	100
412	100
219	100
49	101
393	101
211	101
280	102
7	102
123	102
149	103
415	103
241	103
486	104
103	104
92	104
151	105
480	105
297	105
491	106
368	106
32	106
202	107
185	107
72	107
