<<<<<<< HEAD
VertexID	Color
7	1
1	1
2	1
3	1
4	1
5	1
6	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
19	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
31	1
32	1
34	1
35	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
55	1
56	1
58	1
59	1
60	1
63	1
65	1
66	1
67	1
69	1
71	1
75	1
80	1
82	1
87	1
88	1
93	1
102	1
105	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
119	1
121	1
124	1
125	1
128	1
129	1
18	2
30	2
54	2
61	2
73	2
84	2
86	2
97	2
98	2
106	2
117	2
122	2
126	2
131	2
134	2
137	2
36	3
57	3
62	3
68	3
78	3
90	3
94	3
96	3
104	3
120	3
132	3
74	4
64	4
70	4
76	4
79	4
103	4
115	4
118	4
133	4
81	5
20	5
45	5
72	5
83	5
123	5
91	6
21	6
33	6
77	6
85	6
127	6
130	6
99	7
89	7
92	7
101	7
116	8
100	8
135	9
136	10
138	11
=======
VertexID	Color
7	1
1	1
2	1
3	1
4	1
5	1
6	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
19	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
31	1
32	1
34	1
35	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
55	1
56	1
58	1
59	1
60	1
63	1
65	1
66	1
67	1
69	1
71	1
75	1
80	1
82	1
87	1
88	1
93	1
102	1
105	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
119	1
121	1
124	1
125	1
128	1
129	1
18	2
30	2
54	2
61	2
73	2
84	2
86	2
97	2
98	2
106	2
117	2
122	2
126	2
131	2
134	2
137	2
36	3
57	3
62	3
68	3
78	3
90	3
94	3
96	3
104	3
120	3
132	3
74	4
64	4
70	4
76	4
79	4
103	4
115	4
118	4
133	4
81	5
20	5
45	5
72	5
83	5
123	5
91	6
21	6
33	6
77	6
85	6
127	6
130	6
99	7
89	7
92	7
101	7
116	8
100	8
135	9
136	10
138	11
>>>>>>> c1566aac1e68d9b0b39dec59fe8d8f314861d7ed
