VertexID	Color
6	1
4	1
8	1
10	1
12	1
19	1
21	1
25	1
23	1
36	1
43	1
32	1
34	1
38	1
40	1
45	1
49	1
55	1
82	1
85	1
100	1
87	1
78	1
47	1
53	1
64	1
62	1
66	1
159	1
288	1
425	1
429	1
558	1
431	1
564	1
433	1
290	1
427	1
161	1
68	1
294	1
167	1
165	1
72	1
74	1
93	1
97	1
172	1
178	1
295	1
297	1
566	1
570	1
689	1
702	1
700	1
723	1
704	1
706	1
711	1
851	1
853	1
861	1
859	1
890	1
870	1
717	1
868	1
973	1
981	1
1000	1
715	1
693	1
578	1
574	1
576	1
580	1
445	1
443	1
304	1
436	1
586	1
447	1
176	1
300	1
309	1
307	1
181	1
183	1
91	1
106	1
112	1
113	1
119	1
143	1
264	1
220	1
267	1
228	1
260	1
231	1
224	1
273	1
256	1
275	1
280	1
284	1
253	1
145	1
149	1
136	1
129	1
131	1
188	1
133	1
194	1
316	1
313	1
441	1
318	1
331	1
333	1
325	1
466	1
456	1
584	1
592	1
728	1
753	1
896	1
898	1
757	1
907	1
909	1
899	1
761	1
807	1
912	1
1042	1
1044	1
1035	1
903	1
1022	1
1026	1
1024	1
1103	1
1105	1
1039	1
1110	1
1119	1
954	1
1051	1
1069	1
1074	1
1125	1
1123	1
1136	1
1132	1
1145	1
1134	1
1128	1
1141	1
1116	1
1191	1
1118	1
1193	1
1204	1
1202	1
1211	1
1209	1
1213	1
1088	1
1151	1
1166	1
1207	1
1170	1
1200	1
1157	1
1164	1
1179	1
1155	1
1162	1
1097	1
1093	1
1099	1
1172	1
1095	1
1137	1
1175	1
1182	1
1186	1
1190	1
555	1
548	1
545	1
534	1
541	1
552	1
679	1
684	1
842	1
844	1
677	1
675	1
668	1
539	1
532	1
537	1
631	1
530	1
523	1
626	1
525	1
403	1
410	1
286	1
421	1
406	1
408	1
417	1
502	1
495	1
498	1
519	1
838	1
845	1
961	1
964	1
968	1
959	1
966	1
836	1
928	1
932	1
938	1
940	1
934	1
789	1
617	1
511	1
654	1
658	1
809	1
650	1
652	1
644	1
648	1
616	1
464	1
582	1
599	1
595	1
614	1
609	1
355	1
507	1
476	1
505	1
509	1
364	1
222	1
239	1
218	1
125	1
151	1
235	1
347	1
351	1
346	1
196	1
123	1
140	1
153	1
199	1
197	1
208	1
210	1
320	1
335	1
337	1
344	1
450	1
468	1
469	1
473	1
360	1
241	1
349	1
245	1
372	1
374	1
376	1
370	1
368	1
479	1
379	1
494	1
383	1
483	1
488	1
492	1
503	1
515	1
619	1
636	1
638	1
642	1
628	1
662	1
672	1
829	1
775	1
824	1
664	1
815	1
825	1
946	1
948	1
950	1
817	1
941	1
767	1
769	1
794	1
802	1
777	1
785	1
796	1
917	1
919	1
921	1
930	1
936	1
952	1
1057	1
1059	1
975	1
983	1
1006	1
969	1
979	1
996	1
875	1
730	1
887	1
881	1
883	1
1010	1
1020	1
877	1
1014	1
1018	1
1016	1
994	1
1002	1
1004	1
1077	1
1081	1
249	1
269	1
389	1
392	1
396	1
398	1
601	1
697	1
713	1
744	1
746	1
748	1
750	1
1	1
5	2
3	2
7	2
9	2
14	2
18	2
20	2
22	2
27	2
35	2
44	2
31	2
37	2
46	2
52	2
57	2
50	2
81	2
79	2
102	2
104	2
77	2
48	2
63	2
61	2
65	2
160	2
426	2
287	2
424	2
559	2
562	2
291	2
67	2
162	2
164	2
170	2
166	2
69	2
73	2
90	2
94	2
174	2
301	2
438	2
569	2
688	2
690	2
699	2
703	2
725	2
705	2
712	2
852	2
854	2
856	2
860	2
862	2
864	2
858	2
867	2
718	2
971	2
982	2
988	2
873	2
720	2
694	2
716	2
573	2
575	2
440	2
577	2
579	2
444	2
303	2
446	2
460	2
585	2
448	2
299	2
179	2
92	2
96	2
109	2
111	2
115	2
117	2
263	2
265	2
144	2
227	2
259	2
232	2
219	2
230	2
257	2
282	2
255	2
274	2
272	2
251	2
146	2
150	2
135	2
130	2
132	2
189	2
187	2
192	2
315	2
308	2
306	2
329	2
458	2
462	2
591	2
727	2
754	2
895	2
897	2
752	2
759	2
910	2
900	2
916	2
914	2
1041	2
1043	2
906	2
1033	2
