VertexID	Color
2	1
14	1
93	1
104	1
40	1
36	1
69	1
28	1
110	1
5	1
99	1
27	1
94	1
48	1
35	1
44	1
112	1
52	1
24	2
11	2
53	2
46	2
68	2
32	2
31	2
38	2
34	2
49	2
1	2
120	2
97	2
67	2
29	2
59	2
84	2
54	3
6	3
73	3
98	3
45	3
64	3
17	3
106	3
72	3
61	3
62	3
113	3
75	3
12	3
3	3
95	3
92	4
13	4
71	4
74	4
111	4
114	4
101	4
70	4
33	4
56	4
96	4
89	4
83	4
23	4
103	4
39	4
108	4
30	5
60	5
8	5
81	5
115	5
116	5
51	5
76	5
85	5
63	5
16	5
88	5
20	5
118	5
102	5
105	5
37	5
77	6
55	6
18	6
119	6
58	6
79	6
26	6
50	6
57	6
80	6
10	6
117	6
42	6
65	6
87	7
100	7
82	7
9	7
78	7
4	7
47	7
25	7
43	7
91	7
15	7
41	8
86	8
66	8
109	8
107	8
21	8
19	8
22	8
7	9
90	9
