<<<<<<< HEAD
VertexID	Color
290	1
408	1
304	1
297	1
184	1
236	1
190	1
187	1
339	1
59	1
32	1
211	1
362	1
286	1
166	1
126	1
219	1
115	1
128	1
49	1
195	1
117	1
36	1
86	1
210	1
249	1
14	1
76	1
228	2
390	2
418	2
241	2
220	2
231	2
191	2
61	2
38	2
78	2
123	2
217	2
348	2
165	2
323	2
178	2
372	2
158	2
439	2
386	2
108	2
181	2
448	2
47	2
152	2
230	2
445	2
189	3
393	3
48	3
243	3
382	3
149	3
161	3
281	3
419	3
174	3
6	3
226	3
289	3
301	3
29	3
26	3
253	3
51	3
207	3
250	3
311	3
298	4
138	4
443	4
90	4
284	4
42	4
120	4
180	4
16	4
135	4
407	4
20	4
50	4
89	4
437	4
64	4
268	4
1	4
333	4
368	4
251	5
422	5
162	5
279	5
118	5
101	5
82	5
194	5
332	5
433	5
201	5
359	5
65	5
98	5
33	5
310	5
326	5
329	5
104	5
54	5
206	5
203	6
331	6
45	6
8	6
336	6
106	6
74	6
169	6
374	6
147	6
364	6
349	6
294	6
450	6
389	6
394	6
277	6
380	6
212	6
125	6
358	6
429	6
402	7
80	7
227	7
99	7
15	7
94	7
400	7
41	7
87	7
179	7
308	7
67	7
144	7
356	7
223	7
73	7
328	7
150	7
204	7
302	8
205	8
244	8
192	8
233	8
317	8
5	8
319	8
327	8
127	8
355	8
112	8
357	8
130	8
77	8
352	8
27	8
102	8
399	9
420	9
354	9
46	9
171	9
343	9
215	9
60	9
93	9
164	9
25	9
396	9
218	9
66	9
378	9
293	9
137	9
17	9
384	9
351	9
426	10
307	10
370	10
288	10
444	10
256	10
313	10
96	10
160	10
346	10
428	10
345	10
303	10
173	10
383	10
431	10
309	10
222	11
79	11
159	11
353	11
35	11
255	11
405	11
248	11
424	11
411	11
365	11
156	11
430	11
340	11
182	11
216	11
234	11
447	11
30	11
208	11
142	12
377	12
417	12
404	12
273	12
392	12
4	12
12	12
72	12
154	12
139	12
344	12
415	12
119	12
235	12
316	12
254	12
261	12
52	13
7	13
200	13
9	13
109	13
263	13
315	13
196	13
446	13
305	13
240	13
43	13
440	13
84	13
168	13
265	14
412	14
449	14
22	14
153	14
105	14
229	14
423	14
24	14
68	14
63	14
132	14
421	14
172	14
342	14
58	15
177	15
213	15
176	15
262	15
278	15
141	15
435	15
214	15
193	15
28	15
39	15
238	15
292	15
88	15
414	15
188	15
113	16
114	16
131	16
275	16
409	16
167	16
13	16
312	16
221	16
285	16
31	16
259	16
110	16
34	16
146	16
385	16
413	16
237	16
69	17
116	17
387	17
81	17
246	17
170	17
375	17
183	17
133	17
434	17
322	17
410	17
306	17
57	17
274	17
21	17
338	18
425	18
360	18
198	18
75	18
85	18
185	18
361	18
71	18
373	18
92	18
245	18
124	18
295	18
264	18
3	18
239	18
282	19
334	19
283	19
252	19
299	19
267	19
140	19
175	19
2	19
23	19
258	19
163	19
416	19
300	19
341	19
247	20
314	20
157	20
366	20
441	20
122	20
266	20
376	20
155	20
37	20
91	20
321	20
97	20
397	20
272	20
367	21
379	21
53	21
199	21
436	21
296	21
401	21
324	21
111	21
197	21
136	21
19	21
363	21
62	21
232	22
148	22
11	22
70	22
100	22
369	22
427	22
318	22
381	22
276	22
103	22
350	22
398	22
145	22
406	22
438	23
271	23
134	23
269	23
325	23
209	23
442	23
83	23
151	23
291	23
395	23
129	23
18	23
242	23
10	24
347	24
95	24
371	24
257	24
55	24
260	24
280	24
225	24
287	24
143	24
330	24
121	24
224	24
40	24
337	25
403	25
388	25
320	25
56	25
335	25
186	25
107	25
391	25
202	25
270	25
44	25
432	25
=======
VertexID	Color
290	1
408	1
304	1
297	1
184	1
236	1
190	1
187	1
339	1
59	1
32	1
211	1
362	1
286	1
166	1
126	1
219	1
115	1
128	1
49	1
195	1
117	1
36	1
86	1
210	1
249	1
14	1
76	1
228	2
390	2
418	2
241	2
220	2
231	2
191	2
61	2
38	2
78	2
123	2
217	2
348	2
165	2
323	2
178	2
372	2
158	2
439	2
386	2
108	2
181	2
448	2
47	2
152	2
230	2
445	2
189	3
393	3
48	3
243	3
382	3
149	3
161	3
281	3
419	3
174	3
6	3
226	3
289	3
301	3
29	3
26	3
253	3
51	3
207	3
250	3
311	3
298	4
138	4
443	4
90	4
284	4
42	4
120	4
180	4
16	4
135	4
407	4
20	4
50	4
89	4
437	4
64	4
268	4
1	4
333	4
368	4
251	5
422	5
162	5
279	5
118	5
101	5
82	5
194	5
332	5
433	5
201	5
359	5
65	5
98	5
33	5
310	5
326	5
329	5
104	5
54	5
206	5
203	6
331	6
45	6
8	6
336	6
106	6
74	6
169	6
374	6
147	6
364	6
349	6
294	6
450	6
389	6
394	6
277	6
380	6
212	6
125	6
358	6
429	6
402	7
80	7
227	7
99	7
15	7
94	7
400	7
41	7
87	7
179	7
308	7
67	7
144	7
356	7
223	7
73	7
328	7
150	7
204	7
302	8
205	8
244	8
192	8
233	8
317	8
5	8
319	8
327	8
127	8
355	8
112	8
357	8
130	8
77	8
352	8
27	8
102	8
399	9
420	9
354	9
46	9
171	9
343	9
215	9
60	9
93	9
164	9
25	9
396	9
218	9
66	9
378	9
293	9
137	9
17	9
384	9
351	9
426	10
307	10
370	10
288	10
444	10
256	10
313	10
96	10
160	10
346	10
428	10
345	10
303	10
173	10
383	10
431	10
309	10
222	11
79	11
159	11
353	11
35	11
255	11
405	11
248	11
424	11
411	11
365	11
156	11
430	11
340	11
182	11
216	11
234	11
447	11
30	11
208	11
142	12
377	12
417	12
404	12
273	12
392	12
4	12
12	12
72	12
154	12
139	12
344	12
415	12
119	12
235	12
316	12
254	12
261	12
52	13
7	13
200	13
9	13
109	13
263	13
315	13
196	13
446	13
305	13
240	13
43	13
440	13
84	13
168	13
265	14
412	14
449	14
22	14
153	14
105	14
229	14
423	14
24	14
68	14
63	14
132	14
421	14
172	14
342	14
58	15
177	15
213	15
176	15
262	15
278	15
141	15
435	15
214	15
193	15
28	15
39	15
238	15
292	15
88	15
414	15
188	15
113	16
114	16
131	16
275	16
409	16
167	16
13	16
312	16
221	16
285	16
31	16
259	16
110	16
34	16
146	16
385	16
413	16
237	16
69	17
116	17
387	17
81	17
246	17
170	17
375	17
183	17
133	17
434	17
322	17
410	17
306	17
57	17
274	17
21	17
338	18
425	18
360	18
198	18
75	18
85	18
185	18
361	18
71	18
373	18
92	18
245	18
124	18
295	18
264	18
3	18
239	18
282	19
334	19
283	19
252	19
299	19
267	19
140	19
175	19
2	19
23	19
258	19
163	19
416	19
300	19
341	19
247	20
314	20
157	20
366	20
441	20
122	20
266	20
376	20
155	20
37	20
91	20
321	20
97	20
397	20
272	20
367	21
379	21
53	21
199	21
436	21
296	21
401	21
324	21
111	21
197	21
136	21
19	21
363	21
62	21
232	22
148	22
11	22
70	22
100	22
369	22
427	22
318	22
381	22
276	22
103	22
350	22
398	22
145	22
406	22
438	23
271	23
134	23
269	23
325	23
209	23
442	23
83	23
151	23
291	23
395	23
129	23
18	23
242	23
10	24
347	24
95	24
371	24
257	24
55	24
260	24
280	24
225	24
287	24
143	24
330	24
121	24
224	24
40	24
337	25
403	25
388	25
320	25
56	25
335	25
186	25
107	25
391	25
202	25
270	25
44	25
432	25
>>>>>>> c1566aac1e68d9b0b39dec59fe8d8f314861d7ed
