<<<<<<< HEAD
VertexID	Color
20	1
1	1
2	1
3	1
4	1
6	1
7	1
8	1
11	1
12	1
15	1
16	1
22	1
27	1
28	1
34	1
35	1
39	1
41	1
44	1
47	1
48	1
49	1
51	1
56	1
63	1
64	1
65	1
74	1
83	1
84	1
87	1
90	1
101	1
107	1
112	1
30	2
5	2
9	2
13	2
14	2
17	2
19	2
23	2
26	2
29	2
31	2
32	2
33	2
36	2
42	2
45	2
46	2
55	2
62	2
70	2
72	2
75	2
79	2
80	2
95	2
97	2
114	2
121	2
128	2
38	3
18	3
37	3
43	3
50	3
52	3
54	3
57	3
58	3
59	3
60	3
76	3
78	3
93	3
96	3
102	3
108	3
117	3
119	3
120	3
122	3
53	4
21	4
66	4
67	4
71	4
73	4
77	4
81	4
85	4
88	4
98	4
99	4
105	4
106	4
110	4
111	4
118	4
116	5
40	5
68	5
69	5
89	5
100	5
103	5
104	5
109	5
125	5
127	5
25	6
10	6
91	6
115	6
124	6
82	7
24	7
92	7
113	8
61	8
94	8
=======
VertexID	Color
20	1
1	1
2	1
3	1
4	1
6	1
7	1
8	1
11	1
12	1
15	1
16	1
22	1
27	1
28	1
34	1
35	1
39	1
41	1
44	1
47	1
48	1
49	1
51	1
56	1
63	1
64	1
65	1
74	1
83	1
84	1
87	1
90	1
101	1
107	1
112	1
30	2
5	2
9	2
13	2
14	2
17	2
19	2
23	2
26	2
29	2
31	2
32	2
33	2
36	2
42	2
45	2
46	2
55	2
62	2
70	2
72	2
75	2
79	2
80	2
95	2
97	2
114	2
121	2
128	2
38	3
18	3
37	3
43	3
50	3
52	3
54	3
57	3
58	3
59	3
60	3
76	3
78	3
93	3
96	3
102	3
108	3
117	3
119	3
120	3
122	3
53	4
21	4
66	4
67	4
71	4
73	4
77	4
81	4
85	4
88	4
98	4
99	4
105	4
106	4
110	4
111	4
118	4
116	5
40	5
68	5
69	5
89	5
100	5
103	5
104	5
109	5
125	5
127	5
25	6
10	6
91	6
115	6
124	6
82	7
24	7
92	7
113	8
61	8
94	8
>>>>>>> c1566aac1e68d9b0b39dec59fe8d8f314861d7ed
