VertexID	Color
2	1
1	1
3	1
14	1
15	1
17	1
34	1
56	1
10	2
4	2
7	2
11	2
12	2
23	2
51	2
72	2
20	3
5	3
6	3
18	3
19	3
31	3
42	3
112	3
121	3
24	4
8	4
9	4
16	4
44	4
50	4
60	4
25	5
13	5
21	5
27	5
32	5
63	5
65	5
119	5
28	6
22	6
26	6
33	6
55	6
71	6
81	6
30	7
29	7
35	7
37	7
39	7
57	7
59	7
95	7
38	8
40	8
43	8
47	8
48	8
67	8
85	8
106	8
45	9
49	9
64	9
74	9
87	9
120	9
46	10
54	10
70	10
73	10
80	10
52	11
77	11
89	11
90	11
53	12
76	12
97	12
98	12
104	12
58	13
78	13
96	13
103	13
124	13
66	14
79	14
122	14
68	15
36	15
105	15
69	16
101	16
102	16
75	17
100	17
109	17
83	18
84	18
108	18
92	19
117	19
93	20
110	20
94	21
114	21
107	22
82	22
125	22
113	23
115	24
116	25
128	25
123	26
126	27
127	28
118	28
41	29
62	29
61	30
99	30
111	31
91	31
