VertexID	Color
1	1
33	1
7	1
93	1
5	1
8	1
26	1
64	1
84	1
78	1
23	1
99	1
50	1
86	1
51	1
80	1
17	1
11	1
16	1
30	1
45	1
15	1
60	1
21	1
39	1
42	1
41	1
53	1
89	1
96	1
10	1
74	1
69	1
2	2
3	2
92	2
47	2
6	2
27	2
62	2
63	2
77	2
12	2
24	2
98	2
67	2
66	2
25	2
81	2
18	2
13	2
29	2
46	2
14	2
22	2
36	2
35	2
38	2
56	2
54	2
90	2
57	2
70	2
75	2
72	2
4	3
34	3
94	3
48	3
9	3
28	3
85	3
79	3
100	3
65	3
87	3
52	3
82	3
31	3
44	3
59	3
19	3
20	3
37	3
40	3
43	3
58	3
55	3
91	3
95	3
68	3
76	3
71	3
32	4
49	4
83	4
88	4
61	4
97	4
73	4
