<<<<<<< HEAD
VertexID	Color
5	1
13	1
16	1
21	1
18	1
17	1
12	1
22	1
47	1
7	2
9	2
8	2
6	2
10	2
31	2
29	2
23	2
46	2
32	2
30	2
33	2
2	3
39	3
45	3
36	3
41	3
38	3
27	3
34	3
28	3
44	3
43	3
25	3
37	4
35	4
3	4
1	4
26	4
24	4
11	4
14	4
42	5
20	5
15	5
4	5
19	5
40	6
=======
VertexID	Color
5	1
13	1
16	1
21	1
18	1
17	1
12	1
22	1
47	1
7	2
9	2
8	2
6	2
10	2
31	2
29	2
23	2
46	2
32	2
30	2
33	2
2	3
39	3
45	3
36	3
41	3
38	3
27	3
34	3
28	3
44	3
43	3
25	3
37	4
35	4
3	4
1	4
26	4
24	4
11	4
14	4
42	5
20	5
15	5
4	5
19	5
40	6
>>>>>>> c1566aac1e68d9b0b39dec59fe8d8f314861d7ed
