VertexID	Color
2	1
56	1
82	1
91	1
141	1
178	1
193	1
221	1
245	1
278	1
324	1
360	1
363	1
417	1
427	1
475	1
489	1
516	1
560	1
585	1
616	1
659	1
664	1
713	1
730	1
767	1
799	1
828	1
854	1
882	1
3	2
54	2
89	2
106	2
137	2
169	2
190	2
211	2
253	2
275	2
304	2
342	2
378	2
420	2
435	2
478	2
487	2
532	2
548	2
572	2
614	2
636	2
687	2
699	2
746	2
761	2
805	2
833	2
861	2
890	2
4	3
53	3
71	3
98	3
144	3
170	3
205	3
237	3
250	3
282	3
330	3
331	3
388	3
408	3
426	3
472	3
493	3
527	3
555	3
599	3
605	3
646	3
669	3
692	3
734	3
757	3
783	3
829	3
866	3
891	3
14	4
31	4
62	4
115	4
139	4
163	4
184	4
230	4
258	4
300	4
323	4
352	4
371	4
414	4
429	4
476	4
483	4
525	4
550	4
578	4
627	4
635	4
681	4
697	4
732	4
766	4
809	4
816	4
857	4
898	4
10	5
52	5
88	5
120	5
124	5
166	5
201	5
229	5
265	5
273	5
308	5
343	5
384	5
405	5
449	5
452	5
481	5
528	5
557	5
596	5
620	5
657	5
674	5
695	5
729	5
762	5
787	5
821	5
863	5
876	5
17	6
39	6
90	6
116	6
135	6
177	6
188	6
223	6
244	6
291	6
322	6
341	6
366	6
395	6
434	6
470	6
503	6
529	6
542	6
586	6
618	6
637	6
688	6
693	6
745	6
751	6
804	6
820	6
852	6
899	6
22	7
51	7
77	7
100	7
147	7
156	7
187	7
215	7
254	7
283	7
302	7
346	7
372	7
401	7
439	7
468	7
504	7
514	7
563	7
600	7
603	7
639	7
686	7
719	7
721	7
770	7
795	7
838	7
848	7
895	7
20	8
47	8
66	8
114	8
134	8
152	8
207	8
235	8
243	8
285	8
313	8
349	8
361	8
394	8
428	8
460	8
501	8
517	8
570	8
582	8
628	8
653	8
682	8
701	8
749	8
755	8
796	8
836	8
849	8
888	8
24	9
48	9
79	9
99	9
132	9
173	9
183	9
225	9
248	9
281	9
307	9
359	9
380	9
412	9
446	9
471	9
507	9
512	9
541	9
580	9
604	9
647	9
665	9
703	9
736	9
756	9
794	9
835	9
868	9
900	9
15	10
49	10
80	10
103	10
128	10
154	10
185	10
217	10
263	10
292	10
