VertexID	Color
12	1
22	1
26	1
107	1
40	1
54	1
69	1
116	1
139	1
75	1
85	1
125	1
9	2
24	2
25	2
71	2
106	2
39	2
55	2
92	2
76	2
138	2
113	2
122	2
11	3
15	3
30	3
60	3
70	3
38	3
117	3
140	3
79	3
89	3
97	3
124	3
3	4
18	4
35	4
72	4
118	4
45	4
52	4
80	4
103	4
86	4
137	4
121	4
2	5
21	5
36	5
131	5
94	5
44	5
51	5
61	5
115	5
78	5
101	5
136	5
7	6
17	6
32	6
144	6
47	6
130	6
49	6
63	6
81	6
90	6
100	6
110	6
6	7
14	7
29	7
132	7
83	7
46	7
56	7
64	7
141	7
91	7
99	7
109	7
4	8
23	8
31	8
120	8
58	8
41	8
66	8
129	8
104	8
73	8
87	8
134	8
5	9
13	9
34	9
84	9
119	9
43	9
50	9
68	9
105	9
88	9
126	9
135	9
1	10
20	10
28	10
48	10
95	10
142	10
57	10
65	10
127	10
74	10
102	10
111	10
8	11
16	11
33	11
96	11
143	11
82	11
37	11
53	11
67	11
98	11
114	11
123	11
10	12
19	12
27	12
108	12
59	12
42	12
62	12
93	12
128	12
77	12
112	12
133	12
