<<<<<<< HEAD
VertexID	Color
31	1
92	1
34	1
60	1
120	2
115	2
122	2
61	2
43	3
70	3
47	3
10	3
3	4
95	4
89	4
21	4
36	5
15	5
35	5
68	5
18	6
58	6
37	6
65	6
75	7
4	7
23	7
74	7
81	8
96	8
79	8
77	8
84	9
24	9
100	9
91	9
123	9
118	10
32	10
63	10
121	10
103	11
116	11
41	11
13	11
97	12
114	12
94	12
88	12
7	13
2	13
17	13
59	13
29	14
20	14
125	14
99	14
76	15
64	15
117	15
30	16
46	16
42	16
72	17
112	17
28	17
50	17
106	18
83	18
48	18
8	19
107	19
119	19
110	20
9	20
26	20
27	21
90	21
86	21
67	22
52	22
22	22
124	22
85	23
87	23
12	23
53	23
40	24
78	24
62	24
98	25
93	25
45	26
102	26
80	26
51	27
56	27
25	27
111	28
11	28
33	28
57	29
5	29
109	29
19	30
69	30
54	30
14	30
101	31
71	31
105	31
16	32
66	32
44	32
1	33
108	33
113	33
49	34
6	34
38	35
55	35
104	35
73	36
39	36
82	36
=======
VertexID	Color
31	1
92	1
34	1
60	1
120	2
115	2
122	2
61	2
43	3
70	3
47	3
10	3
3	4
95	4
89	4
21	4
36	5
15	5
35	5
68	5
18	6
58	6
37	6
65	6
75	7
4	7
23	7
74	7
81	8
96	8
79	8
77	8
84	9
24	9
100	9
91	9
123	9
118	10
32	10
63	10
121	10
103	11
116	11
41	11
13	11
97	12
114	12
94	12
88	12
7	13
2	13
17	13
59	13
29	14
20	14
125	14
99	14
76	15
64	15
117	15
30	16
46	16
42	16
72	17
112	17
28	17
50	17
106	18
83	18
48	18
8	19
107	19
119	19
110	20
9	20
26	20
27	21
90	21
86	21
67	22
52	22
22	22
124	22
85	23
87	23
12	23
53	23
40	24
78	24
62	24
98	25
93	25
45	26
102	26
80	26
51	27
56	27
25	27
111	28
11	28
33	28
57	29
5	29
109	29
19	30
69	30
54	30
14	30
101	31
71	31
105	31
16	32
66	32
44	32
1	33
108	33
113	33
49	34
6	34
38	35
55	35
104	35
73	36
39	36
82	36
>>>>>>> c1566aac1e68d9b0b39dec59fe8d8f314861d7ed
