VertexID	Color
322	1
55	1
102	1
11	1
42	1
257	1
163	1
181	1
205	1
149	1
81	1
242	1
153	1
212	1
108	1
218	1
296	1
349	1
76	1
59	1
342	1
122	1
287	1
345	1
2	1
40	1
104	1
137	1
138	1
185	1
193	1
236	1
241	1
285	1
309	1
327	2
3	2
106	2
146	2
323	2
35	2
256	2
177	2
167	2
302	2
50	2
331	2
18	2
28	2
347	2
244	2
294	2
339	2
196	2
120	2
199	2
198	2
266	2
286	2
86	2
136	2
188	2
194	2
284	2
313	2
315	2
316	2
174	3
44	3
107	3
320	3
25	3
41	3
5	3
259	3
45	3
49	3
310	3
161	3
128	3
254	3
298	3
350	3
335	3
332	3
200	3
210	3
143	3
202	3
272	3
278	3
314	3
14	4
172	4
133	4
135	4
51	4
139	4
142	4
262	4
93	4
158	4
223	4
88	4
47	4
308	4
131	4
29	4
71	4
248	4
292	4
189	4
208	4
68	4
269	4
290	4
140	4
187	4
118	5
116	5
114	5
328	5
4	5
24	5
97	5
325	5
224	5
169	5
37	5
340	5
83	5
220	5
251	5
217	5
300	5
78	5
180	5
123	5
277	5
61	5
275	5
281	5
113	6
7	6
175	6
33	6
94	6
321	6
23	6
311	6
206	6
89	6
46	6
333	6
211	6
336	6
352	6
72	6
191	6
178	6
232	6
64	6
144	6
201	6
112	7
85	7
324	7
101	7
10	7
36	7
147	7
204	7
80	7
303	7
19	7
166	7
228	7
245	7
348	7
75	7
231	7
121	7
58	7
341	7
291	7
344	7
162	7
100	8
265	8
9	8
141	8
156	8
54	8
171	8
243	8
39	8
306	8
129	8
240	8
21	8
148	8
17	8
253	8
31	8
301	8
155	8
192	8
63	8
238	8
283	8
13	8
176	9
195	9
164	9
226	9
22	9
27	9
103	9
258	9
82	9
307	9
219	9
213	9
295	9
246	9
77	9
109	9
233	9
343	9
60	9
268	9
288	9
346	9
227	10
317	10
160	10
56	10
95	10
260	10
207	10
184	10
312	10
90	10
255	10
179	10
215	10
299	10
337	10
73	10
334	10
110	10
145	10
125	10
65	10
273	10
279	10
99	10
105	11
229	11
117	11
168	11
8	11
186	11
173	11
52	11
263	11
235	11
26	11
1	11
319	11
15	11
304	11
48	11
239	11
127	11
214	11
297	11
30	11
249	11
159	11
69	11
209	11
197	11
237	11
270	11
57	12
96	12
326	12
183	12
230	12
261	12
91	12
305	12
250	12
329	12
111	12
221	12
351	12
74	12
234	12
152	12
6	12
124	12
66	12
274	12
280	12
170	13
53	13
134	13
132	13
264	13
98	13
338	13
225	13
32	13
38	13
84	13
20	13
16	13
130	13
252	13
216	13
79	13
293	13
151	13
154	13
62	13
203	13
276	13
282	13
119	14
115	14
150	14
92	14
318	14
12	14
34	14
43	14
182	14
157	14
165	14
222	14
87	14
126	14
247	14
330	14
70	14
190	14
271	14
67	14
267	14
289	14
