<<<<<<< HEAD
VertexID	Color
388	1
313	1
463	1
230	1
302	1
137	1
111	1
320	1
549	1
379	1
66	1
331	1
423	1
355	1
408	1
367	1
418	1
878	1
625	1
483	1
495	1
518	1
643	1
627	1
1	1
23	1
39	1
42	1
68	1
87	1
108	1
113	1
144	1
160	1
180	1
216	1
222	1
279	2
256	2
82	2
253	2
102	2
382	2
164	2
814	2
301	2
790	2
490	2
649	2
342	2
846	2
381	2
613	2
650	2
639	2
588	2
883	2
553	2
48	2
70	2
93	2
95	2
120	2
121	2
145	2
151	2
168	2
415	3
285	3
67	3
211	3
192	3
227	3
452	3
163	3
430	3
392	3
698	3
246	3
139	3
429	3
437	3
876	3
433	3
569	3
517	3
607	3
652	3
472	3
771	3
765	3
2	3
105	3
114	3
149	3
213	3
276	4
112	4
96	4
146	4
338	4
303	4
389	4
329	4
255	4
293	4
574	4
714	4
658	4
664	4
451	4
623	4
642	4
603	4
871	4
895	4
40	4
41	4
45	4
81	4
94	4
109	4
126	4
154	4
155	4
159	4
171	4
201	4
217	4
194	5
83	5
191	5
350	5
333	5
476	5
210	5
511	5
264	5
453	5
555	5
356	5
195	5
272	5
826	5
548	5
482	5
651	5
691	5
513	5
686	5
3	5
44	5
46	5
58	5
60	5
71	5
106	5
122	5
131	5
134	5
135	5
147	5
193	5
207	5
218	5
224	5
308	5
413	5
419	6
274	6
104	6
544	6
252	6
727	6
89	6
375	6
761	6
693	6
844	6
369	6
226	6
677	6
299	6
319	6
400	6
758	6
542	6
905	6
20	6
47	6
69	6
73	6
127	6
143	6
148	6
169	6
615	7
568	7
343	7
315	7
254	7
324	7
724	7
259	7
233	7
456	7
564	7
525	7
692	7
297	7
411	7
497	7
659	7
577	7
702	7
673	7
835	7
5	7
21	7
74	7
132	7
158	7
409	7
366	8
214	8
225	8
431	8
237	8
725	8
378	8
330	8
368	8
461	8
440	8
775	8
531	8
832	8
580	8
709	8
614	8
730	8
742	8
25	8
152	8
153	8
167	8
232	8
266	8
395	9
348	9
65	9
